species_common_name,species_encoded,year,population,population_rolling_avg,population_rolling_std,population_cv,population_change_rate,population_relative_to_peak,population_relative_to_baseline,cumulative_change_rate,is_declining,is_growing,overall_trend_encoded,iucn_status_numeric,taxonomic_group_encoded,region_encoded,years_since_baseline,conservation_urgency,risk_level,risk_level_encoded,taxon_Aquatic Mammal,taxon_Bird,taxon_Mammal,taxon_Marine Mammal,taxon_Reptile,region_encoded.1,region_Africa,region_China,region_Global Oceans,region_India,region_North America,region_Usa,species_pop_mean,species_pop_std,species_pop_min,species_pop_max,species_change_mean,species_change_std,species_decline_years
African Elephant,0,1979,1300000,1300000.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,2.0,3,2,0,0,3.0,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.694285001858298,35
African Elephant,0,1980,1230900,1265450.0,48861.07857999043,0.0386116232012252,-5.315384615384611,0.946846153846154,0.946846153846154,-5.315384615384611,1,0,2.0,3,2,0,1,3.1594615384615383,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.694285001858298,35
African Elephant,0,1981,1161800,1230900.0,69100.0,0.0561377853603054,-5.613778536030544,0.8936923076923077,0.8936923076923077,-10.929163151415157,1,0,2.0,3,2,0,2,3.168413356080916,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.694285001858298,35
African Elephant,0,1982,1092700,1161800.0,69100.0,0.0594766741263556,-5.94766741263556,0.8405384615384616,0.8405384615384616,-16.876830564050714,1,0,2.0,3,2,0,3,3.178430022379067,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.694285001858298,35
African Elephant,0,1983,1023600,1092700.0,69100.0,0.0632378511942893,-6.323785119428937,0.7873846153846153,0.7873846153846153,-23.20061568347965,1,0,2.0,3,2,0,4,3.189713553582868,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.694285001858298,35
African Elephant,0,1984,954500,1023600.0,69100.0,0.0675068386088315,-6.750683860883155,0.7342307692307692,0.7342307692307692,-29.951299544362804,1,0,2.0,3,2,0,5,3.2025205158264947,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.694285001858298,35
African Elephant,0,1985,885400,954500.0,69100.0,0.0723939235201676,-7.23939235201676,0.681076923076923,0.681076923076923,-37.19069189637956,1,0,2.0,3,2,0,6,3.2171817705605026,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.694285001858298,35
African Elephant,0,1986,816300,885400.0,69100.0,0.0780438220013553,-7.804382200135529,0.6279230769230769,0.6279230769230769,-44.99507409651509,1,0,2.0,3,2,0,7,3.234131466004066,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.694285001858298,35
African Elephant,0,1987,747200,816300.0,69100.0,0.0846502511331618,-8.465025113316182,0.5747692307692308,0.5747692307692308,-53.46009920983127,1,0,2.0,3,2,0,8,3.253950753399485,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.694285001858298,35
African Elephant,0,1988,678100,747200.0,69100.0,0.0924785867237687,-9.247858672376877,0.5216153846153846,0.5216153846153846,-62.70795788220815,1,0,2.0,3,2,0,9,3.277435760171306,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.694285001858298,35
